                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     55,                0.44466,                0.46273,                0.41358,                0.85251,                0.99218,                      1,                  0.995,                0.79897,                0.99218,                      1,                  0.995,                0.78414,                0.73354,                 1.0181,                0.41396,                 1.1757,             0.00077582,             0.00077582,             0.00077582
                     56,                0.47735,                0.46103,                0.43569,                0.86652,                0.99136,                      1,                  0.995,                0.79333,                0.99136,                      1,                  0.995,                0.76984,                0.73045,                0.99591,                0.37988,                  1.157,             0.00075932,             0.00075932,             0.00075932
                     57,                0.45255,                0.44301,                0.40858,                0.85401,                 0.9867,                      1,                  0.995,                0.76992,                 0.9867,                      1,                  0.995,                0.79258,                0.87699,                 1.0838,                0.45693,                 1.1797,             0.00074282,             0.00074282,             0.00074282
                     58,                 0.4654,                0.46423,                0.41353,                0.85027,                0.98937,                      1,                  0.995,                 0.7969,                0.98937,                      1,                  0.995,                0.79592,                0.82018,                0.99364,                0.42218,                  1.171,             0.00072631,             0.00072631,             0.00072631
                     59,                0.45599,                0.48405,                0.41005,                0.85278,                0.99243,                      1,                  0.995,                0.80457,                0.99243,                      1,                  0.995,                0.78808,                0.76258,                 1.0074,                0.43389,                  1.162,             0.00070981,             0.00070981,             0.00070981
                     60,                0.43409,                0.46691,                0.40726,                0.86396,                0.98946,                      1,                  0.995,                 0.8005,                0.98946,                      1,                  0.995,                0.76744,                0.69912,                 1.0775,                0.40283,                 1.0949,             0.00069331,             0.00069331,             0.00069331
                     61,                0.43049,                0.47836,                0.40259,                 0.8559,                0.99078,                      1,                  0.995,                 0.8041,                0.99078,                      1,                  0.995,                0.79713,                0.70404,                 1.0734,                0.39601,                 1.1355,              0.0006768,              0.0006768,              0.0006768
                     62,                0.41814,                0.42965,                0.38151,                0.85245,                0.98427,                      1,                  0.995,                0.80202,                0.98427,                      1,                  0.995,                0.79477,                0.72525,                  1.232,                0.43155,                  1.151,              0.0006603,              0.0006603,              0.0006603
                     63,                  0.424,                0.44954,                0.39354,                0.84679,                0.98363,                      1,                  0.995,                0.84425,                0.98363,                      1,                  0.995,                0.78643,                0.80119,                 1.2284,                 0.4284,                 1.1652,              0.0006438,              0.0006438,              0.0006438
                     64,                0.42154,                0.44583,                 0.3822,                0.85252,                0.98192,                      1,                  0.995,                0.83022,                0.98192,                      1,                  0.995,                0.83421,                0.74986,                 1.1497,                0.46968,                 1.0953,             0.00062729,             0.00062729,             0.00062729
                     65,                0.40618,                 0.4212,                0.37891,                0.84094,                0.98505,                      1,                  0.995,                0.83397,                0.98505,                      1,                  0.995,                0.84175,                 0.7376,                 1.1113,                 0.4256,                 1.1074,             0.00061079,             0.00061079,             0.00061079
                     66,                0.41643,                0.42245,                0.38033,                0.84346,                0.98448,                      1,                  0.995,                0.82017,                0.98448,                      1,                  0.995,                0.81777,                0.80567,                 1.0113,                0.39986,                 1.1159,             0.00059429,             0.00059429,             0.00059429
                     67,                0.43739,                0.41499,                0.38542,                0.84876,                 0.9831,                      1,                  0.995,                0.83746,                 0.9831,                      1,                  0.995,                0.83032,                0.71233,                 1.0671,                0.42427,                  1.034,             0.00057778,             0.00057778,             0.00057778
                     68,                0.43831,                0.43768,                0.40446,                0.85651,                0.98659,                      1,                  0.995,                0.86002,                0.98659,                      1,                  0.995,                0.81129,                0.60754,                 1.0608,                0.40566,                0.97403,             0.00056128,             0.00056128,             0.00056128
                     69,                 0.3964,                0.43859,                0.38083,                0.84652,                0.98824,                      1,                  0.995,                0.87835,                0.98824,                      1,                  0.995,                0.84467,                0.61096,                0.98558,                0.39943,                0.99256,             0.00054478,             0.00054478,             0.00054478
                     70,                  0.386,                0.42757,                0.36412,                 0.8512,                0.98747,                      1,                  0.995,                0.86799,                0.98747,                      1,                  0.995,                0.85684,                0.63735,                0.94245,                0.37521,                 1.0322,             0.00052827,             0.00052827,             0.00052827
                     71,                0.37719,                0.40709,                0.35175,                0.83736,                0.98499,                      1,                  0.995,                0.83095,                0.98499,                      1,                  0.995,                0.83342,                0.60792,                0.92457,                0.36901,                 1.0437,             0.00051177,             0.00051177,             0.00051177
                     72,                0.38968,                0.38658,                0.35871,                0.84225,                0.98044,                0.99965,                  0.995,                0.85121,                0.98044,                0.99965,                  0.995,                0.81318,                0.64192,                0.93272,                0.37016,                 1.1072,             0.00049527,             0.00049527,             0.00049527
                     73,                0.38483,                0.42333,                0.35711,                0.84329,                0.98207,                      1,                  0.995,                0.85217,                0.98207,                      1,                  0.995,                0.79195,                0.66924,                 1.0288,                 0.3727,                 1.0974,             0.00047876,             0.00047876,             0.00047876
                     74,                0.41268,                0.42968,                0.36815,                0.84456,                0.98473,                      1,                  0.995,                0.86514,                0.98473,                      1,                  0.995,                 0.7848,                0.63437,                0.99581,                0.34848,                 1.1028,             0.00046226,             0.00046226,             0.00046226
                     75,                0.40182,                0.43793,                0.36705,                0.85674,                0.98735,                      1,                  0.995,                0.81721,                0.98735,                      1,                  0.995,                0.77983,                0.67082,                  1.045,                0.35368,                 1.1234,             0.00044576,             0.00044576,             0.00044576
                     76,                0.39524,                0.42492,                0.36228,                0.83313,                0.98949,                      1,                  0.995,                0.82736,                0.98949,                      1,                  0.995,                0.78927,                0.62232,                0.99791,                0.34234,                 1.1083,             0.00042925,             0.00042925,             0.00042925
                     77,                0.38908,                 0.4142,                0.36223,                0.84133,                0.98753,                      1,                  0.995,                0.83267,                0.98753,                      1,                  0.995,                0.79766,                0.59925,                 1.0341,                0.34064,                 1.0782,             0.00041275,             0.00041275,             0.00041275
                     78,                0.37729,                0.38791,                0.34789,                 0.8352,                0.98809,                      1,                  0.995,                 0.8208,                0.98809,                      1,                  0.995,                0.80757,                0.65407,                 1.1178,                0.35736,                 1.0678,             0.00039625,             0.00039625,             0.00039625
                     79,                0.36763,                0.42508,                0.33963,                0.82631,                0.98928,                      1,                  0.995,                0.82024,                0.98928,                      1,                  0.995,                0.81011,                0.61084,                 1.0884,                0.33367,                 1.0431,             0.00037974,             0.00037974,             0.00037974
                     80,                0.36607,                 0.3813,                0.33554,                 0.8282,                0.98645,                      1,                  0.995,                0.85884,                0.98645,                      1,                  0.995,                0.82259,                0.60768,                 1.0948,                0.32681,                 1.0379,             0.00036324,             0.00036324,             0.00036324
                     81,                0.36833,                0.38002,                0.33798,                0.82825,                0.98536,                      1,                  0.995,                0.87886,                0.98536,                      1,                  0.995,                0.82918,                0.62703,                 1.0866,                0.35081,                 1.0229,             0.00034674,             0.00034674,             0.00034674
                     82,                 0.3501,                0.37891,                 0.3264,                0.82988,                0.98408,                      1,                  0.995,                0.88638,                0.98408,                      1,                  0.995,                0.84282,                0.52864,                 1.0247,                0.36172,                0.94932,             0.00033023,             0.00033023,             0.00033023
                     83,                0.36544,                0.33105,                0.33879,                0.83556,                0.98515,                      1,                  0.995,                0.86878,                0.98515,                      1,                  0.995,                0.85032,                0.56045,                 1.0459,                0.35107,                0.94884,             0.00031373,             0.00031373,             0.00031373
                     84,                0.36738,                0.46799,                0.33638,                0.84408,                0.98347,                      1,                  0.995,                0.89444,                0.98347,                      1,                  0.995,                0.83921,                0.55526,                 1.0898,                0.34708,                0.96213,             0.00029723,             0.00029723,             0.00029723
                     85,                0.35753,                 0.3949,                0.33484,                0.82636,                0.98296,                      1,                  0.995,                0.88384,                0.98296,                      1,                  0.995,                0.84268,                0.54195,                 1.1031,                0.34598,                0.96746,             0.00028072,             0.00028072,             0.00028072
                     86,                0.36691,                0.38332,                0.34089,                0.82638,                0.98707,                      1,                  0.995,                0.88108,                0.98707,                      1,                  0.995,                0.82442,                0.61555,                 1.0155,                0.36342,                 1.0262,             0.00026422,             0.00026422,             0.00026422
                     87,                0.36124,                0.39304,                0.33603,                0.83658,                0.99233,                      1,                  0.995,                0.85758,                0.99233,                      1,                  0.995,                0.82082,                 0.6339,                0.94705,                0.34765,                 1.0647,             0.00024772,             0.00024772,             0.00024772
                     88,                0.34914,                0.36845,                0.32694,                0.84211,                0.99248,                      1,                  0.995,                0.85416,                0.99248,                      1,                  0.995,                0.83872,                0.63288,                0.92426,                0.33251,                 1.0801,             0.00023121,             0.00023121,             0.00023121
                     89,                0.36369,                0.38251,                0.33444,                0.83401,                0.99122,                      1,                  0.995,                 0.8641,                0.99122,                      1,                  0.995,                 0.8133,                0.61181,                0.92289,                0.31089,                 1.0731,             0.00021471,             0.00021471,             0.00021471
                     90,                0.35513,                0.40704,                0.32923,                 0.8321,                0.99132,                      1,                  0.995,                0.86961,                0.99132,                      1,                  0.995,                0.79735,                0.59924,                 0.9387,                0.30981,                 1.0732,             0.00019821,             0.00019821,             0.00019821
                     91,                0.36526,                0.45916,                0.35394,                0.80897,                 0.9922,                      1,                  0.995,                0.85116,                 0.9922,                      1,                  0.995,                0.82142,                0.58977,                0.90991,                0.32544,                 1.0721,              0.0001817,              0.0001817,              0.0001817
                     92,                 0.3366,                0.35022,                0.33572,                0.80427,                0.98558,                      1,                  0.995,                0.85559,                0.98558,                      1,                  0.995,                0.80908,                0.60535,                0.92776,                0.33272,                 1.0812,              0.0001652,              0.0001652,              0.0001652
                     93,                0.33207,                 0.3737,                0.35078,                0.79168,                0.98427,                      1,                  0.995,                0.86484,                0.98427,                      1,                  0.995,                0.81545,                0.58677,                0.87864,                0.33419,                 1.0891,              0.0001487,              0.0001487,              0.0001487
                     94,                0.32038,                0.37674,                 0.3444,                0.81598,                 0.9861,                      1,                  0.995,                0.86233,                 0.9861,                      1,                  0.995,                0.82742,                0.61097,                0.82188,                0.32658,                 1.1179,             0.00013219,             0.00013219,             0.00013219
                     95,                0.30865,                 0.3382,                0.31098,                0.79725,                0.98616,                      1,                  0.995,                0.87487,                0.98616,                      1,                  0.995,                0.83002,                0.60754,                0.81582,                0.31467,                 1.1122,             0.00011569,             0.00011569,             0.00011569
                     96,                0.30225,                0.31106,                0.31005,                0.80641,                0.98266,                      1,                  0.995,                0.87897,                0.98266,                      1,                  0.995,                0.83799,                0.58285,                0.78253,                0.31222,                 1.0594,             9.9187e-05,             9.9187e-05,             9.9187e-05
                     97,                 0.3081,                0.33131,                0.31345,                0.80413,                0.98042,                      1,                  0.995,                0.87638,                0.98042,                      1,                  0.995,                0.83548,                0.59129,                0.77132,                0.32453,                 1.0569,             8.2683e-05,             8.2683e-05,             8.2683e-05
                     98,                 0.3152,                0.34809,                0.30972,                0.79055,                0.97814,                0.99898,                  0.995,                0.85499,                0.97814,                0.99898,                  0.995,                0.83375,                0.60738,                0.76192,                0.32839,                  1.089,              6.618e-05,              6.618e-05,              6.618e-05
                     99,                0.30934,                0.32118,                0.31351,                0.81331,                0.97579,                0.99795,                  0.995,                0.85312,                0.97579,                0.99795,                  0.995,                0.82726,                 0.5944,                0.75935,                0.33656,                  1.081,             4.9677e-05,             4.9677e-05,             4.9677e-05
                    100,                0.29352,                0.34876,                0.31642,                0.79104,                0.97297,                0.99697,                  0.995,                0.86055,                0.97297,                0.99697,                  0.995,                 0.8274,                0.56462,                0.74928,                0.33241,                 1.0619,             3.3173e-05,             3.3173e-05,             3.3173e-05
