                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     58,                 1.4851,                0.74823,                0.90987,                0.69499,                0.55556,                0.60869,                 0.2072,                 2.6164,                 1.6692,                 1.1258,              0.0008714,              0.0008714,              0.0008714
                     59,                 1.5254,                0.72138,                0.91807,                0.93312,                0.44444,                0.60592,                0.19876,                 2.5982,                 1.5249,                 1.1304,              0.0008516,              0.0008516,              0.0008516
                     60,                 1.4391,                0.69482,                0.91605,                0.57663,                0.77778,                0.70449,                0.30175,                  2.318,                 1.3858,                 1.0916,              0.0008318,              0.0008318,              0.0008318
                     61,                  1.563,                0.76682,                0.90996,                      1,                0.53098,                0.65933,                0.25482,                 2.4352,                  1.736,                 1.1154,               0.000812,               0.000812,               0.000812
                     62,                 1.5045,                0.72525,                0.91168,                0.95576,                0.55556,                0.67677,                0.27382,                   2.29,                 2.0027,                 1.1085,              0.0007922,              0.0007922,              0.0007922
                     63,                 1.4851,                 0.7292,                0.92353,                0.94916,                0.55556,                0.67597,                0.25346,                  2.329,                 1.7833,                 1.1062,              0.0007724,              0.0007724,              0.0007724
                     64,                 1.4887,                0.69361,                0.90084,                0.95275,                0.55556,                0.65819,                0.24622,                  2.447,                 1.9363,                 1.0864,              0.0007526,              0.0007526,              0.0007526
                     65,                 1.4468,                0.71031,                0.89549,                0.94896,                0.55556,                0.64865,                0.23773,                  2.509,                 2.1172,                 1.1239,              0.0007328,              0.0007328,              0.0007328
                     66,                 1.3677,                 0.6664,                0.90115,                 0.9491,                0.55556,                0.63266,                0.22678,                 2.6796,                 2.1282,                  1.205,               0.000713,               0.000713,               0.000713
                     67,                 1.4221,                0.66861,                0.89353,                0.95801,                0.55556,                0.61824,                0.22141,                 2.6761,                 2.1559,                 1.2188,              0.0006932,              0.0006932,              0.0006932
                     68,                 1.3991,                0.67207,                0.88447,                0.94744,                0.44444,                0.59462,                0.18386,                 2.7452,                  2.249,                 1.2175,              0.0006734,              0.0006734,              0.0006734
                     69,                 1.3324,                0.68635,                 0.8933,                0.96149,                0.44444,                0.57199,                0.18149,                  2.623,                 2.2313,                 1.2075,              0.0006536,              0.0006536,              0.0006536
                     70,                 1.3557,                0.66253,                 0.8759,                0.81419,                0.55556,                 0.5987,                0.20931,                 2.4672,                 2.1658,                 1.1821,              0.0006338,              0.0006338,              0.0006338
                     71,                 1.3462,                0.63929,                0.88601,                0.95279,                0.44444,                0.57337,                 0.1756,                 2.5844,                 2.1474,                 1.2001,               0.000614,               0.000614,               0.000614
                     72,                 1.2871,                0.62572,                 0.8752,                0.95255,                0.44444,                0.56588,                0.18716,                 2.4855,                  2.064,                 1.1785,              0.0005942,              0.0005942,              0.0005942
                     73,                  1.312,                0.62379,                0.87869,                0.96013,                0.44444,                0.59267,                0.19445,                 2.5503,                 2.2447,                 1.1926,              0.0005744,              0.0005744,              0.0005744
                     74,                 1.3442,                 0.6495,                0.87423,                0.97606,                0.44444,                0.60384,                 0.2205,                 2.4481,                 1.9262,                 1.1235,              0.0005546,              0.0005546,              0.0005546
                     75,                 1.3919,                0.65488,                0.91018,                0.97557,                0.44444,                 0.6229,                 0.2381,                 2.3114,                  1.804,                  1.087,              0.0005348,              0.0005348,              0.0005348
                     76,                 1.3664,                0.62795,                0.88119,                0.83224,                0.55191,                0.69278,                0.25327,                 2.2342,                 1.7149,                 1.0897,               0.000515,               0.000515,               0.000515
                     77,                 1.2677,                0.59364,                 0.8633,                0.83004,                0.54458,                0.70742,                0.22697,                 2.4006,                 1.8389,                 1.1032,              0.0004952,              0.0004952,              0.0004952
                     78,                 1.2532,                0.59041,                0.86557,                0.91687,                0.44444,                0.64328,                0.21263,                 2.3816,                 1.8709,                 1.0864,              0.0004754,              0.0004754,              0.0004754
                     79,                 1.2558,                0.59634,                0.87094,                 0.8146,                0.44444,                0.62504,                 0.2379,                 2.3791,                  1.966,                 1.0895,              0.0004556,              0.0004556,              0.0004556
                     80,                 1.2698,                0.57379,                0.85806,                0.71216,                 0.5506,                 0.6006,                0.21461,                  2.383,                 1.9201,                 1.0982,              0.0004358,              0.0004358,              0.0004358
                     81,                 1.2236,                0.62021,                0.85411,                0.73494,                0.55556,                0.65291,                0.22908,                  2.336,                 1.9247,                 1.0929,               0.000416,               0.000416,               0.000416
                     82,                 1.1894,                 0.5758,                0.85051,                0.75941,                0.55556,                0.66555,                0.25253,                 2.2941,                 1.8721,                  1.088,              0.0003962,              0.0003962,              0.0003962
                     83,                 1.3015,                0.58862,                0.88786,                0.86473,                0.55556,                0.65984,                0.24026,                 2.2913,                 1.8086,                 1.0968,              0.0003764,              0.0003764,              0.0003764
                     84,                 1.2242,                0.59607,                 0.8458,                0.89598,                0.55556,                0.65984,                0.28533,                 2.1451,                 1.8478,                 1.0655,              0.0003566,              0.0003566,              0.0003566
                     85,                 1.2226,                0.58191,                0.88884,                 0.8799,                0.55556,                0.66307,                0.28917,                 2.1886,                 1.7687,                 1.0736,              0.0003368,              0.0003368,              0.0003368
                     86,                 1.2715,                0.58182,                0.87928,                0.82328,                0.55556,                0.65582,                0.27334,                 2.2906,                 1.6931,                 1.0925,               0.000317,               0.000317,               0.000317
                     87,                 1.2228,                0.57276,                0.88444,                0.81661,                0.55556,                0.67608,                0.30144,                 2.2376,                 1.7661,                 1.1045,              0.0002972,              0.0002972,              0.0002972
                     88,                 1.1554,                0.54842,                0.86441,                0.81255,                0.55556,                0.66423,                0.25214,                 2.3872,                 1.8708,                 1.1411,              0.0002774,              0.0002774,              0.0002774
                     89,                 1.2295,                0.60176,                0.84561,                0.81429,                0.55556,                0.64946,                0.26259,                 2.3894,                 1.8194,                 1.1375,              0.0002576,              0.0002576,              0.0002576
                     90,                 1.2001,                0.56975,                0.83552,                0.81856,                0.55556,                0.65165,                0.24005,                 2.4123,                 1.8384,                 1.1374,              0.0002378,              0.0002378,              0.0002378
                     91,                 1.2267,                0.58892,                0.87793,                0.82115,                0.55556,                0.65732,                0.24054,                 2.4307,                 1.8508,                 1.1519,               0.000218,               0.000218,               0.000218
                     92,                 1.1572,                0.55833,                0.87613,                0.81955,                0.55556,                0.64699,                0.23404,                 2.4111,                 1.7926,                 1.1685,              0.0001982,              0.0001982,              0.0001982
                     93,                 1.1346,                0.55194,                0.86417,                 0.8184,                0.55556,                0.63598,                0.21405,                 2.3932,                 1.7433,                 1.1714,              0.0001784,              0.0001784,              0.0001784
                     94,                 1.1097,                0.52918,                0.86514,                0.81935,                0.55556,                0.64685,                0.21491,                 2.3812,                 1.7415,                 1.1661,              0.0001586,              0.0001586,              0.0001586
                     95,                  1.211,                 0.5804,                0.85643,                0.82075,                0.55556,                0.65258,                0.23218,                 2.3334,                 1.7079,                 1.1609,              0.0001388,              0.0001388,              0.0001388
                     96,                 1.0294,                 0.4997,                0.84938,                0.82118,                0.55556,                  0.653,                 0.2336,                 2.2824,                 1.6617,                 1.1513,               0.000119,               0.000119,               0.000119
                     97,                 1.0976,                0.52195,                0.85912,                0.82083,                0.55556,                0.65724,                 0.2374,                    2.3,                 1.6053,                 1.1522,               9.92e-05,               9.92e-05,               9.92e-05
                     98,                 1.0561,                0.49717,                0.83292,                 0.8205,                0.55556,                0.65781,                0.23516,                 2.3516,                 1.5793,                 1.1576,               7.94e-05,               7.94e-05,               7.94e-05
                     99,                  1.023,                0.48441,                0.84689,                0.81984,                0.55556,                0.66399,                0.23055,                 2.3886,                 1.5506,                  1.168,               5.96e-05,               5.96e-05,               5.96e-05
                    100,                 1.0439,                0.50818,                0.85906,                0.81901,                0.55556,                0.66718,                0.22926,                 2.4353,                  1.473,                 1.1817,               3.98e-05,               3.98e-05,               3.98e-05
